User,Gesture Type,Number of Templates (E),Count,"Reco Result (1 if correct, 0 if incorrect)",Reco Score
1,delete_mark,1,390,1,0.917442967770304
1,left_curly_brace,1,390,1,0.8689581346725144
1,left_sq_bracket,1,390,1,0.9458120516069446
1,pigtail,1,390,1,0.8999833028978477
1,question_mark,1,390,1,0.9621172060142839
1,rectangle,1,390,1,0.9456054921960659
1,right_curly_brace,1,390,1,0.9437116717643806
1,right_sq_bracket,1,390,1,0.9592716118577493
1,star,1,390,1,0.9321521164126014
1,triangle,1,390,1,0.9435256656648427
1,v,1,390,1,0.8120778005163611
1,arrow,1,405,1,0.827254923251399
1,caret,1,405,1,0.9692855062221495
1,check,1,405,1,0.940378272707512
1,circle,1,405,1,0.8949185378516611
1,delete_mark,1,405,1,0.917442967770304
1,left_curly_brace,1,405,1,0.8689581346725144
1,left_sq_bracket,1,405,1,0.9458120516069446
1,pigtail,1,405,1,0.8999833028978477
1,question_mark,1,405,1,0.9621172060142839
1,rectangle,1,405,1,0.9456054921960659
1,right_curly_brace,1,405,1,0.9437116717643806
1,right_sq_bracket,1,405,1,0.9592716118577493
1,star,1,405,1,0.9321521164126014
1,triangle,1,405,1,0.9435256656648427
1,v,1,405,1,0.8120778005163611
1,arrow,1,420,1,0.827254923251399
1,caret,1,420,1,0.9692855062221495
1,check,1,420,1,0.940378272707512
1,circle,1,420,1,0.8949185378516611
1,delete_mark,1,420,1,0.917442967770304
1,left_curly_brace,1,420,1,0.8689581346725144
1,left_sq_bracket,1,420,1,0.9458120516069446
1,pigtail,1,420,1,0.8999833028978477
1,question_mark,1,420,1,0.9621172060142839
1,rectangle,1,420,1,0.9456054921960659
1,right_curly_brace,1,420,1,0.9437116717643806
1,right_sq_bracket,1,420,1,0.9592716118577493
1,star,1,420,1,0.9321521164126014
1,triangle,1,420,1,0.9435256656648427
1,v,1,420,1,0.8120778005163611
1,arrow,1,435,1,0.827254923251399
1,caret,1,435,1,0.9692855062221495
1,check,1,435,1,0.940378272707512
1,circle,1,435,1,0.8949185378516611
1,delete_mark,1,435,1,0.917442967770304
1,left_curly_brace,1,435,1,0.8689581346725144
1,left_sq_bracket,1,435,1,0.9458120516069446
1,pigtail,1,435,1,0.8999833028978477
1,question_mark,1,435,1,0.9621172060142839
1,rectangle,1,435,1,0.9456054921960659
1,right_curly_brace,1,435,1,0.9437116717643806
1,right_sq_bracket,1,435,1,0.9592716118577493
1,star,1,435,1,0.9321521164126014
1,triangle,1,435,1,0.9435256656648427
1,v,1,435,1,0.8120778005163611
1,arrow,1,450,1,0.827254923251399
1,caret,1,450,1,0.9692855062221495
1,check,1,450,1,0.940378272707512
1,circle,1,450,1,0.8949185378516611
1,delete_mark,1,450,1,0.917442967770304
1,left_curly_brace,1,450,1,0.8689581346725144
1,left_sq_bracket,1,450,1,0.9458120516069446
1,pigtail,1,450,1,0.8999833028978477
1,question_mark,1,450,1,0.9621172060142839
1,rectangle,1,450,1,0.9456054921960659
1,right_curly_brace,1,450,1,0.9437116717643806
1,right_sq_bracket,1,450,1,0.9592716118577493
1,star,1,450,1,0.9321521164126014
1,triangle,1,450,1,0.9435256656648427
1,v,1,450,1,0.8120778005163611
1,arrow,1,465,1,0.827254923251399
1,caret,1,465,1,0.9692855062221495
1,check,1,465,1,0.940378272707512
1,circle,1,465,1,0.8949185378516611
1,delete_mark,1,465,1,0.917442967770304
1,left_curly_brace,1,465,1,0.8689581346725144
1,left_sq_bracket,1,465,1,0.9458120516069446
1,pigtail,1,465,1,0.8999833028978477
1,question_mark,1,465,1,0.9621172060142839
1,rectangle,1,465,1,0.9456054921960659
1,right_curly_brace,1,465,1,0.9437116717643806
1,right_sq_bracket,1,465,1,0.9592716118577493
1,star,1,465,1,0.9321521164126014
1,triangle,1,465,1,0.9435256656648427
1,v,1,465,1,0.8120778005163611
1,arrow,1,480,1,0.827254923251399
1,caret,1,480,1,0.9692855062221495
1,check,1,480,1,0.940378272707512
1,circle,1,480,1,0.8949185378516611
1,delete_mark,1,480,1,0.917442967770304
1,left_curly_brace,1,480,1,0.8689581346725144
1,left_sq_bracket,1,480,1,0.9458120516069446
1,pigtail,1,480,1,0.8999833028978477
1,question_mark,1,480,1,0.9621172060142839
1,rectangle,1,480,1,0.9456054921960659
1,right_curly_brace,1,480,1,0.9437116717643806
1,right_sq_bracket,1,480,1,0.9592716118577493
1,star,1,480,1,0.9321521164126014
1,triangle,1,480,1,0.9435256656648427
1,v,1,480,1,0.8120778005163611
1,arrow,1,495,1,0.827254923251399
1,caret,1,495,1,0.9692855062221495
1,check,1,495,1,0.940378272707512
1,circle,1,495,1,0.8949185378516611
1,delete_mark,1,495,1,0.917442967770304
1,left_curly_brace,1,495,1,0.8689581346725144
1,left_sq_bracket,1,495,1,0.9458120516069446
1,pigtail,1,495,1,0.8999833028978477
1,question_mark,1,495,1,0.9621172060142839
1,rectangle,1,495,1,0.9456054921960659
1,right_curly_brace,1,495,1,0.9437116717643806
1,right_sq_bracket,1,495,1,0.9592716118577493
1,star,1,495,1,0.9321521164126014
1,triangle,1,495,1,0.9435256656648427
1,v,1,495,1,0.8120778005163611
1,arrow,1,510,1,0.827254923251399
1,caret,1,510,1,0.9692855062221495
1,check,1,510,1,0.940378272707512
1,circle,1,510,1,0.8949185378516611
1,delete_mark,1,510,1,0.917442967770304
1,left_curly_brace,1,510,1,0.8689581346725144
1,left_sq_bracket,1,510,1,0.9458120516069446
1,pigtail,1,510,1,0.8999833028978477
1,question_mark,1,510,1,0.9621172060142839
1,rectangle,1,510,1,0.9456054921960659
1,right_curly_brace,1,510,1,0.9437116717643806
1,right_sq_bracket,1,510,1,0.9592716118577493
1,star,1,510,1,0.9321521164126014
1,triangle,1,510,1,0.9435256656648427
1,v,1,510,1,0.8120778005163611
1,arrow,1,525,1,0.827254923251399
1,caret,1,525,1,0.9692855062221495
1,check,1,525,1,0.940378272707512
1,circle,1,525,1,0.8949185378516611
1,delete_mark,1,525,1,0.917442967770304
1,left_curly_brace,1,525,1,0.8689581346725144
1,left_sq_bracket,1,525,1,0.9458120516069446
1,pigtail,1,525,1,0.8999833028978477
1,question_mark,1,525,1,0.9621172060142839
1,rectangle,1,525,1,0.9456054921960659
1,right_curly_brace,1,525,1,0.9437116717643806
1,right_sq_bracket,1,525,1,0.9592716118577493
1,star,1,525,1,0.9321521164126014
1,triangle,1,525,1,0.9435256656648427
1,v,1,525,1,0.8120778005163611
1,arrow,1,540,1,0.827254923251399
1,caret,1,540,1,0.9692855062221495
1,check,1,540,1,0.940378272707512
1,circle,1,540,1,0.8949185378516611
1,delete_mark,1,540,1,0.917442967770304
1,left_curly_brace,1,540,1,0.8689581346725144
1,left_sq_bracket,1,540,1,0.9458120516069446
1,pigtail,1,540,1,0.8999833028978477
1,question_mark,1,540,1,0.9621172060142839
1,rectangle,1,540,1,0.9456054921960659
1,right_curly_brace,1,540,1,0.9437116717643806
1,right_sq_bracket,1,540,1,0.9592716118577493
1,star,1,540,1,0.9321521164126014
1,triangle,1,540,1,0.9435256656648427
1,v,1,540,1,0.8120778005163611
1,arrow,1,555,1,0.827254923251399
1,caret,1,555,1,0.9692855062221495
1,check,1,555,1,0.940378272707512
1,circle,1,555,1,0.8949185378516611
1,delete_mark,1,555,1,0.917442967770304
1,left_curly_brace,1,555,1,0.8689581346725144
1,left_sq_bracket,1,555,1,0.9458120516069446
1,pigtail,1,555,1,0.8999833028978477
1,question_mark,1,555,1,0.9621172060142839
1,rectangle,1,555,1,0.9456054921960659
1,right_curly_brace,1,555,1,0.9437116717643806
1,right_sq_bracket,1,555,1,0.9592716118577493
1,star,1,555,1,0.9321521164126014
1,triangle,1,555,1,0.9435256656648427
1,v,1,555,1,0.8120778005163611
1,arrow,1,570,1,0.827254923251399
1,caret,1,570,1,0.9692855062221495
1,check,1,570,1,0.940378272707512
1,circle,1,570,1,0.8949185378516611
1,delete_mark,1,570,1,0.917442967770304
1,left_curly_brace,1,570,1,0.8689581346725144
1,left_sq_bracket,1,570,1,0.9458120516069446
1,pigtail,1,570,1,0.8999833028978477
1,question_mark,1,570,1,0.9621172060142839
1,rectangle,1,570,1,0.9456054921960659
1,right_curly_brace,1,570,1,0.9437116717643806
1,right_sq_bracket,1,570,1,0.9592716118577493
1,star,1,570,1,0.9321521164126014
1,triangle,1,570,1,0.9435256656648427
1,v,1,570,1,0.8120778005163611
1,arrow,1,585,1,0.827254923251399
1,caret,1,585,1,0.9692855062221495
1,check,1,585,1,0.940378272707512
1,circle,1,585,1,0.8949185378516611
1,delete_mark,1,585,1,0.917442967770304
1,left_curly_brace,1,585,1,0.8689581346725144
1,left_sq_bracket,1,585,1,0.9458120516069446
1,pigtail,1,585,1,0.8999833028978477
1,question_mark,1,585,1,0.9621172060142839
1,rectangle,1,585,1,0.9456054921960659
1,right_curly_brace,1,585,1,0.9437116717643806
1,right_sq_bracket,1,585,1,0.9592716118577493
1,star,1,585,1,0.9321521164126014
1,triangle,1,585,1,0.9435256656648427
1,v,1,585,1,0.8120778005163611
1,arrow,1,600,1,0.827254923251399
1,caret,1,600,1,0.9692855062221495
1,check,1,600,1,0.940378272707512
1,circle,1,600,1,0.8949185378516611
1,delete_mark,1,600,1,0.917442967770304
1,left_curly_brace,1,600,1,0.8689581346725144
1,left_sq_bracket,1,600,1,0.9458120516069446
1,pigtail,1,600,1,0.8999833028978477
1,question_mark,1,600,1,0.9621172060142839
1,rectangle,1,600,1,0.9456054921960659
1,right_curly_brace,1,600,1,0.9437116717643806
1,right_sq_bracket,1,600,1,0.9592716118577493
1,star,1,600,1,0.9321521164126014
1,triangle,1,600,1,0.9435256656648427
1,v,1,600,1,0.8120778005163611
1,arrow,1,615,1,0.827254923251399
1,caret,1,615,1,0.9692855062221495
1,check,1,615,1,0.940378272707512
1,circle,1,615,1,0.8949185378516611
1,delete_mark,1,615,1,0.917442967770304
1,left_curly_brace,1,615,1,0.8689581346725144
1,left_sq_bracket,1,615,1,0.9458120516069446
1,pigtail,1,615,1,0.8999833028978477
1,question_mark,1,615,1,0.9621172060142839
1,rectangle,1,615,1,0.9456054921960659
1,right_curly_brace,1,615,1,0.9437116717643806
1,right_sq_bracket,1,615,1,0.9592716118577493
1,star,1,615,1,0.9321521164126014
1,triangle,1,615,1,0.9435256656648427
1,v,1,615,1,0.8120778005163611
1,arrow,1,630,1,0.827254923251399
1,caret,1,630,1,0.9692855062221495
1,check,1,630,1,0.940378272707512
1,circle,1,630,1,0.8949185378516611
1,delete_mark,1,630,1,0.917442967770304
1,left_curly_brace,1,630,1,0.8689581346725144
1,left_sq_bracket,1,630,1,0.9458120516069446
1,pigtail,1,630,1,0.8999833028978477
1,question_mark,1,630,1,0.9621172060142839
1,rectangle,1,630,1,0.9456054921960659
1,right_curly_brace,1,630,1,0.9437116717643806
1,right_sq_bracket,1,630,1,0.9592716118577493
1,star,1,630,1,0.9321521164126014
1,triangle,1,630,1,0.9435256656648427
1,v,1,630,1,0.8120778005163611
1,arrow,1,645,1,0.827254923251399
1,caret,1,645,1,0.9692855062221495
1,check,1,645,1,0.940378272707512
